state,metric,n,normality,heteroscedasticity,summary
closed,AP MAD,134,Not normal,No,Non-normal
closed,AP Max abs dev,134,Not normal,No,Non-normal
closed,AP Range,134,Normal,No,Assumptions met
closed,AP Variance,134,Not normal,Yes,Both violated
closed,Ellipse area,134,Not normal,Yes,Both violated
closed,ML MAD,134,Normal,No,Assumptions met
closed,ML Max abs dev,134,Not normal,No,Non-normal
closed,ML Range,134,Normal,No,Assumptions met
closed,ML Variance,134,Not normal,Yes,Both violated
closed,Path length,134,Not normal,Yes,Both violated
closed,Sway RMS,134,Not normal,No,Non-normal
open,AP MAD,135,Normal,No,Assumptions met
open,AP Max abs dev,135,Normal,Yes,Heterosced
open,AP Range,135,Normal,Yes,Heterosced
open,AP Variance,135,Not normal,Yes,Both violated
open,Ellipse area,135,Not normal,Yes,Both violated
open,ML MAD,135,Normal,No,Assumptions met
open,ML Max abs dev,135,Not normal,No,Non-normal
open,ML Range,135,Normal,No,Assumptions met
open,ML Variance,135,Not normal,Yes,Both violated
open,Path length,135,Normal,Yes,Heterosced
open,Sway RMS,135,Normal,No,Assumptions met
